"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.21","172.64.155.188","TCP","55","10660  >  80 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"2","0.000200","192.168.1.21","172.64.155.188","TCP","55","10677  >  80 [ACK] Seq=1 Ack=1 Win=516 Len=1"
"3","0.004170","172.64.155.188","192.168.1.21","TCP","66","80  >  10660 [ACK] Seq=1 Ack=2 Win=64 Len=0 SLE=1 SRE=2"
"4","0.004170","172.64.155.188","192.168.1.21","TCP","66","80  >  10677 [ACK] Seq=1 Ack=2 Win=62 Len=0 SLE=1 SRE=2"
"5","0.207930","192.168.1.21","108.159.1.92","TCP","55","10690  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU]"
"6","0.217748","108.159.1.92","192.168.1.21","TCP","66","443  >  10690 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"7","0.277697","192.168.1.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"8","0.359750","192.168.1.5","192.168.1.21","UDP","556","48533  >  63999 Len=514"
"9","0.843838","192.168.1.21","192.168.1.5","TCP","164","19856  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=507 Len=110 [TCP segment of a reassembled PDU]"
"10","0.843838","192.168.1.21","192.168.1.5","TCP","164","20064  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=513 Len=110 [TCP segment of a reassembled PDU]"
"11","0.855388","192.168.1.5","192.168.1.21","TCP","164","8009  >  19856 [PSH, ACK] Seq=1 Ack=111 Win=1403 Len=110 [TCP segment of a reassembled PDU]"
"12","0.855388","192.168.1.5","192.168.1.21","TCP","164","8009  >  20064 [PSH, ACK] Seq=1 Ack=111 Win=1419 Len=110 [TCP segment of a reassembled PDU]"
"13","0.909698","192.168.1.21","192.168.1.5","TCP","54","19856  >  8009 [ACK] Seq=111 Ack=111 Win=513 Len=0"
"14","0.909979","192.168.1.21","192.168.1.5","TCP","54","20064  >  8009 [ACK] Seq=111 Ack=111 Win=512 Len=0"
"15","1.035978","192.168.1.21","108.159.1.92","TCP","55","10699  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU]"
"16","1.040962","108.159.1.92","192.168.1.21","TCP","66","443  >  10699 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"17","1.285631","192.168.1.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"18","1.372092","192.168.1.5","192.168.1.21","UDP","556","42514  >  63999 Len=514"
"19","1.598620","192.168.1.21","117.18.232.200","TCP","54","10533  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"20","1.598620","192.168.1.21","117.18.232.200","TCP","54","10534  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","2.294128","192.168.1.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"22","2.400934","192.168.1.5","192.168.1.21","UDP","556","58637  >  63999 Len=514"
"23","3.302534","192.168.1.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"24","3.422164","192.168.1.5","192.168.1.21","UDP","556","51939  >  63999 Len=514"
"25","3.520945","192.168.1.21","172.64.155.188","TCP","55","10678  >  80 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"26","3.520945","192.168.1.21","172.64.155.188","TCP","55","10680  >  80 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"27","3.525630","172.64.155.188","192.168.1.21","TCP","66","80  >  10678 [ACK] Seq=1 Ack=2 Win=60 Len=0 SLE=1 SRE=2"
"28","3.525630","172.64.155.188","192.168.1.21","TCP","66","80  >  10680 [ACK] Seq=1 Ack=2 Win=60 Len=0 SLE=1 SRE=2"
"29","3.583848","192.168.1.21","172.64.155.188","TCP","55","10679  >  80 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"30","3.591389","172.64.155.188","192.168.1.21","TCP","66","80  >  10679 [ACK] Seq=1 Ack=2 Win=60 Len=0 SLE=1 SRE=2"
"31","5.180595","192.168.1.21","157.240.192.52","TLSv1.2","129","Application Data"
"32","5.193501","157.240.192.52","192.168.1.21","TCP","54","443  >  19951 [ACK] Seq=1 Ack=76 Win=1089 Len=0"
"33","5.571306","157.240.192.52","192.168.1.21","TLSv1.2","126","Application Data"
"34","5.625927","192.168.1.21","157.240.192.52","TCP","54","19951  >  443 [ACK] Seq=76 Ack=73 Win=513 Len=0"
"35","5.862778","192.168.1.21","192.168.1.5","TCP","164","20064  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=512 Len=110 [TCP segment of a reassembled PDU]"
"36","5.862808","192.168.1.21","192.168.1.5","TCP","164","19856  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=513 Len=110 [TCP segment of a reassembled PDU]"
"37","5.867824","192.168.1.5","192.168.1.21","TCP","164","8009  >  20064 [PSH, ACK] Seq=111 Ack=221 Win=1419 Len=110 [TCP segment of a reassembled PDU]"
"38","5.868432","192.168.1.5","192.168.1.21","TCP","164","8009  >  19856 [PSH, ACK] Seq=111 Ack=221 Win=1403 Len=110 [TCP segment of a reassembled PDU]"
"39","5.911002","192.168.1.21","192.168.1.5","TCP","54","19856  >  8009 [ACK] Seq=221 Ack=221 Win=512 Len=0"
"40","5.911007","192.168.1.21","192.168.1.5","TCP","54","20064  >  8009 [ACK] Seq=221 Ack=221 Win=512 Len=0"
